algorithm,threads,n,alphabet,time,cache-misses
pqs,1,100000000,256,12.630339,7978839
pqs,2,100000000,256,7.020125,8060492
pqs,3,100000000,256,5.369205,8317625
pqs,4,100000000,256,4.631468,8506207
pqs,5,100000000,256,4.347447,8621757
pqs,6,100000000,256,4.098464,8670045
pqs,7,100000000,256,3.987887,8789166
pqs,8,100000000,256,3.968222,8910319
pqs,9,100000000,256,3.892773,9067724
pqs,10,100000000,256,3.873257,9049548
pqs,11,100000000,256,3.834606,9143399
pqs,12,100000000,256,3.828387,9165602
pqs,1,100000000,256,12.624345,7990262
pqs,2,100000000,256,7.037772,8070482
pqs,3,100000000,256,5.387751,8278797
pqs,4,100000000,256,4.778522,8532721
pqs,5,100000000,256,4.378530,8624548
pqs,6,100000000,256,3.944924,8724720
pqs,7,100000000,256,3.828946,8824334
pqs,8,100000000,256,3.857907,8975050
pqs,9,100000000,256,3.856363,9046809
pqs,10,100000000,256,3.841401,9074247
pqs,11,100000000,256,3.831718,9101002
pqs,12,100000000,256,3.821661,9153276
pqs,1,100000000,256,12.692246,8084999
pqs,2,100000000,256,7.018297,8083796
pqs,3,100000000,256,5.361686,8316304
pqs,4,100000000,256,4.693712,8502401
pqs,5,100000000,256,4.141503,8570692
pqs,6,100000000,256,4.034693,8679206
pqs,7,100000000,256,3.820815,8809924
pqs,8,100000000,256,4.017242,8944734
pqs,9,100000000,256,3.850377,9076568
pqs,10,100000000,256,3.867358,9100820
pqs,11,100000000,256,3.841295,9111497
pqs,12,100000000,256,3.827266,9150039
pms,1,100000000,256,25.782349,67187971
pms,2,100000000,256,12.840617,65627013
pms,3,100000000,256,8.757898,66663145
pms,4,100000000,256,6.687427,67494862
pms,5,100000000,256,5.516179,72060527
pms,6,100000000,256,4.737575,75981252
pms,7,100000000,256,4.129780,79616415
pms,8,100000000,256,3.660540,80846374
pms,9,100000000,256,3.332182,84703389
pms,10,100000000,256,3.051157,84347589
pms,11,100000000,256,2.784625,83661940
pms,12,100000000,256,2.651584,92770666
pms,1,100000000,256,25.304279,62850707
pms,2,100000000,256,12.816829,64956460
pms,3,100000000,256,8.822487,66748843
pms,4,100000000,256,6.708551,67683923
pms,5,100000000,256,5.558186,72764311
pms,6,100000000,256,4.748708,75239606
pms,7,100000000,256,4.140119,81200108
pms,8,100000000,256,3.649361,80219354
pms,9,100000000,256,3.312776,82434470
pms,10,100000000,256,3.097020,88487874
pms,11,100000000,256,2.862622,90988765
pms,12,100000000,256,2.591435,86520242
pms,1,100000000,256,25.299848,62854945
pms,2,100000000,256,12.834130,65654415
pms,3,100000000,256,8.806467,66139970
pms,4,100000000,256,6.859794,73427229
pms,5,100000000,256,5.553363,72784474
pms,6,100000000,256,4.758047,77041004
pms,7,100000000,256,4.109147,76960644
pms,8,100000000,256,3.712706,80699857
pms,9,100000000,256,3.374838,84440434
pms,10,100000000,256,3.061813,87212131
pms,11,100000000,256,2.763353,80393882
pms,12,100000000,256,2.646812,92081834
pcs,1,100000000,256,1.922684,15120169
pcs,2,100000000,256,4.891048,181485373
pcs,3,100000000,256,3.500411,148265580
pcs,4,100000000,256,3.156004,135910948
pcs,5,100000000,256,3.332096,193359048
pcs,6,100000000,256,3.278324,228892695
pcs,7,100000000,256,3.036456,214257496
pcs,8,100000000,256,2.851441,220102243
pcs,9,100000000,256,2.706763,197136606
pcs,10,100000000,256,2.685802,212440696
pcs,11,100000000,256,2.520230,216200305
pcs,12,100000000,256,2.445318,216038788
pcs,1,100000000,256,1.901656,15116964
pcs,2,100000000,256,4.825037,178844632
pcs,3,100000000,256,3.503647,147033263
pcs,4,100000000,256,2.928058,108068162
pcs,5,100000000,256,3.385698,208997461
pcs,6,100000000,256,3.270617,225869213
pcs,7,100000000,256,2.983889,212200668
pcs,8,100000000,256,2.875085,214827124
pcs,9,100000000,256,2.705627,211213135
pcs,10,100000000,256,2.617485,217167985
pcs,11,100000000,256,2.519796,207302258
pcs,12,100000000,256,2.428082,210945415
pcs,1,100000000,256,1.901030,15131167
pcs,2,100000000,256,4.866833,180539610
pcs,3,100000000,256,3.422616,144358253
pcs,4,100000000,256,3.094362,131108423
pcs,5,100000000,256,3.450006,208123290
pcs,6,100000000,256,3.333311,235204919
pcs,7,100000000,256,2.680747,169291073
pcs,8,100000000,256,2.893196,217318847
pcs,9,100000000,256,3.213167,216058608
pcs,10,100000000,256,2.665854,219655611
pcs,11,100000000,256,2.666538,218943964
pcs,12,100000000,256,2.412033,212176271
prs,1,100000000,256,14.554110,13833577
prs,2,100000000,256,11.027932,13960714
prs,3,100000000,256,10.522179,14171511
prs,4,100000000,256,9.982371,14978888
prs,5,100000000,256,9.593142,14691855
prs,6,100000000,256,9.708888,14679143
prs,7,100000000,256,9.809701,14780291
prs,8,100000000,256,9.655294,15092409
prs,9,100000000,256,9.818091,15188061
prs,10,100000000,256,10.017957,15089276
prs,11,100000000,256,9.792162,15158099
prs,12,100000000,256,9.947863,15267927
prs,1,100000000,256,14.957796,14035968
prs,2,100000000,256,11.276299,14027519
prs,3,100000000,256,10.292103,14178915
prs,4,100000000,256,9.720911,14849282
prs,5,100000000,256,9.827421,14673500
prs,6,100000000,256,9.713352,14695859
prs,7,100000000,256,9.806287,14790456
prs,8,100000000,256,9.589996,15018482
prs,9,100000000,256,9.649287,15214579
prs,10,100000000,256,10.001945,15106042
prs,11,100000000,256,9.782325,15127053
prs,12,100000000,256,9.771605,15198622
prs,1,100000000,256,14.949821,14021293
prs,2,100000000,256,11.003792,13941690
prs,3,100000000,256,10.524240,14190921
prs,4,100000000,256,9.704278,14867918
prs,5,100000000,256,9.337260,14635626
prs,6,100000000,256,9.864330,14731589
